Country/Territory,Estimate,Year,Estimate,Year,Estimate,Year
Paraguay *,14528,2022,13976,2021,12300,2020
Kosovo *,14352,2022,12721,2021,10800,2020
Ukraine *,14326,[n 7]2021,14220,[n 7]2021,12400,[n 7]2020
Sri Lanka *,14230,2022,14127,2021,12500,2020
Fiji *,13944,2022,12060,2021,11000,2020
Mongolia *,13611,2022,12863,2021,11500,2020
Algeria *,13324,2022,12038,2021,10700,2020
Palau *,13215,2022,16319,2020,17600,2019
Bhutan *,13077,2022,11129,2020,10900,2020
Vietnam *,13075,2022,11553,2021,8200,2020
Dominica *,13030,2022,11974,2021,9900,2020
Ecuador *,12763,2022,11661,2021,10300,2020
Tunisia *,12490,2022,11595,2021,9700,2020
Iraq *,12408,2022,10409,2021,9300,2020
Cuba *,—,—,—,—,12300,2016
Anguilla *,—,—,—,—,12200,2008
Jordan *,11975,2022,10952,2021,9800,2020
Jamaica *,11962,2022,10026,2021,8700,2020
Lebanon *,11377,2020,10691,2021,11600,2020
American Samoa *,—,—,—,—,11200,2016
Eswatini *,11054,2022,9816,2021,8400,2020
Nauru *,10834,2022,15103,2021,13500,2019
Namibia *,10791,2022,9805,2021,8900,2020
El Salvador *,10576,2022,9669,2021,8100,2020
Philippines *,10344,2022,9120,2021,8000,2020
Bolivia *,9933,2022,9030,2021,7900,2020
Guatemala *,9931,2022,9769,2021,8400,2020
Morocco *,9808,2022,8144,2021,6900,[n 8]2020
Belize *,9623,2022,6922,2021,6100,2020
Uzbekistan *,9478,2022,8497,2021,7000,2020
Laos *,9166,2022,8674,2021,7800,2020
Cape Verde *,8460,[n 9]2022,7028,[n 9]2021,6000,[n 9]2020
India *,8293,2022,7334,2021,6100,2020
Bangladesh *,7985,2022,6613,2021,4800,2020
"Saint Helena, Ascension andTristan da Cunha",—,—,—,—,7800,2010
Angola *,7455,2022,6581,2021,6200,2020
Nicaragua *,7154,2022,6332,2021,5300,2020
Venezuela *,7108,2022,17528,2011,7704,2018
Mauritania *,6925,2022,5592,2021,5000,2020
Ghana *,6780,2022,6178,2021,5300,2020
Honduras *,6769,2022,6253,2021,5100,2020
Tonga *,6663,2022,6694,2020,6400,2019
Pakistan *,6662,2022,5878,2021,4600,2020
Djibouti *,6514,2022,5926,2021,5500,2020
Ivory Coast *,6397,2022,5940,2021,5200,2020
Palestine *,6354,[n 10]2022,6200,[n 10]2021,54006220,[n 11]20202019
Kenya *,6122,2022,5024,2021,4200,2020
Tokelau *,—,—,—,—,6004,2017
Nigeria *,5884,2022,5459,2021,4900,2020
Samoa *,5882,2022,6420,2021,6300,2020
Tuvalu *,5844,2022,5082,2021,4400,2020
Niue *,—,—,—,—,5800,2003
Kyrgyzstan *,5771,2022,5288,2021,4700,2020
Cambodia *,5583,2022,4683,2021,4200,2020
Myanmar *,4830,2022,4345,2021,4500,[n 12]2020
Tajikistan *,4803,2022,4288,2021,3700,2020
São Tomé and Príncipe *,4710,2022,4446,2021,4100,2020
Congo *,4682,2022,3617,2021,3400,2020
Nepal *,4677,2022,4261,2021,3800,2020
Sudan *,4450,2022,4217,2021,4000,2020
Cameroon *,4419,2022,4065,2021,3600,2020
Marshall Islands *,4395,2022,4182,2021,4000,2019
Papua New Guinea *,4271,2022,4445,2021,4100,2020
Benin *,4183,2022,3789,2021,3300,2020
Senegal *,4113,2022,3769,2021,3300,2020
East Timor *,3904,2022,4418,2021,3200,2020
Zambia *,3808,2022,3624,2021,3300,2020
Wallis and Futuna *,—,—,—,—,3800,2004
Micronesia *,3675,2022,3544,2021,3500,2019
Ethiopia *,3434,2022,2600,2021,2300,2020
Tanzania *,3374,2022,2933,2021,2600,2020
Comoros *,3364,2022,3284,2021,3100,2020
Haiti *,3166,2022,3127,2021,2800,2020
Lesotho *,3028,2022,2682,2021,2300,2020
Uganda *,3018,2022,2398,2021,2200,2020
Guinea *,2993,2022,2879,2021,2700,2020
Syria *,6374,[11]2010,—,—,2900,2015
Vanuatu *,2858,2022,3105,2021,2800,2020
Guinea-Bissau *,2851,2022,2057,2021,1800,2020
Rwanda *,2836,2022,2494,2021,2100,2020
Burkina Faso *,2656,2022,2462,2021,2200,2020
Gambia,2640,2022,2434,2021,2200,2020
Togo *,2619,2022,2380,2021,2100,2020
Mali *,2609,2022,2447,2021,2200,2020
Zimbabwe *,2555,2022,2445,2021,2700,2020
Afghanistan *,2456,2020,2079,2020,2000,2020
Solomon Islands *,2336,2022,2656,2021,2500,2020
Kiribati *,2165,2022,2172,2020,2300,2020
Yemen *,2136,2022,3689,2013,2500,2017
Eritrea *,2078,2022,1626,2011,1600,2017
Sierra Leone *,1972,2022,1816,2021,1600,2020
Madagascar *,1790,2022,1635,2021,1500,2020
Chad *,1719,2022,1591,2021,1500,2020
North Korea *,—,—,—,—,1700,2015
Liberia *,1667,2022,1553,2021,1400,2020
Malawi *,1588,2022,1658,2021,1500,2020
Mozambique *,1457,2022,1342,2021,1200,2020
Niger *,1443,2022,1310,2021,1200,2020
DR Congo *,1328,2022,1219,2021,1100,2020
Somalia *,1322,2022,1303,2021,800,2020
Central African Republic *,1088,2022,1021,2021,900,2020
South Sudan *,934,2022,1235,2015,1600,2017
Burundi *,865,2022,793,2021,700,2020
